x1,x2,x3,filename
T9,LIVB 56355 56364,Ciccarese,1-s2.0-S0016706114001761-main.ann
T10,LIVB 58642 58650,Caravaca,1-s2.0-S0016706114001761-main.ann
T11,LIVB 58656 58664,Figueroa,1-s2.0-S0016706114001761-main.ann
T12,LIVB 58670 58675,Barea,1-s2.0-S0016706114001761-main.ann
T13,LIVB 62753 62758,apple,1-s2.0-S0016706114001761-main.ann
T14,LIVB 62928 62933,wheat,1-s2.0-S0016706114001761-main.ann
T15,LIVB 62938 62943,maize,1-s2.0-S0016706114001761-main.ann
T16,LIVB 63245 63254,Guimarães,1-s2.0-S0016706114001761-main.ann
T17,LIVB 63276 63283,Tormena,1-s2.0-S0016706114001761-main.ann
T18,LIVB 63389 63398,Guimarães,1-s2.0-S0016706114001761-main.ann
T19,LIVB 63420 63427,Tormena,1-s2.0-S0016706114001761-main.ann
T20,LIVB 63435 63442,Giarola,1-s2.0-S0016706114001761-main.ann
T21,LIVB 64061 64066,wheat,1-s2.0-S0016706114001761-main.ann
T22,LIVB 64225 64234,Bottomley,1-s2.0-S0016706114001761-main.ann
T23,LIVB 69186 69193,Mairura,1-s2.0-S0016706114001761-main.ann
T24,LIVB 69370 69382,Geoderma 139,1-s2.0-S0016706114001761-main.ann
T25,LIVB 69787 69793,Recous,1-s2.0-S0016706114001761-main.ann
T26,LIVB 70893 70910,Holstein–Friesian,1-s2.0-S0016706114001761-main.ann
T27,LIVB 71152 71169,Holstein–Friesian,1-s2.0-S0016706114001761-main.ann
T28,LIVB 71448 71455,Painuli,1-s2.0-S0016706114001761-main.ann
T29,LIVB 71463 71468,Misra,1-s2.0-S0016706114001761-main.ann
T30,LIVB 71545 71555,rice-wheat,1-s2.0-S0016706114001761-main.ann
T31,LIVB 73525 73536,"Pojasok, T.",1-s2.0-S0016706114001761-main.ann
T32,LIVB 74968 74980,"Savadogo, P.",1-s2.0-S0016706114001761-main.ann
T33,LIVB 75211 75220,Sepaskhah,1-s2.0-S0016706114001761-main.ann
T34,LIVB 75228 75234,Ahmadi,1-s2.0-S0016706114001761-main.ann
T35,LIVB 75242 75250,Shahbazi,1-s2.0-S0016706114001761-main.ann
T36,LIVB 75843 75848,Selvi,1-s2.0-S0016706114001761-main.ann
T37,LIVB 75856 75866,Srivastava,1-s2.0-S0016706114001761-main.ann
T38,LIVB 77827 77847,Thlaspi caerulescens,1-s2.0-S0016706114001761-main.ann
T0,LIVB 92 100,red deer,1-s2.0-S0038071703002992-main.ann
T1,LIVB 850 858,red deer,1-s2.0-S0038071703002992-main.ann
T2,LIVB 1760 1764,deer,1-s2.0-S0038071703002992-main.ann
T3,LIVB 5902 5907,moose,1-s2.0-S0038071703002992-main.ann
T4,LIVB 6213 6217,deer,1-s2.0-S0038071703002992-main.ann
T5,LIVB 6761 6765,red ,1-s2.0-S0038071703002992-main.ann
T6,LIVB 6765 6769,deer,1-s2.0-S0038071703002992-main.ann
T7,LIVB 6919 6924,sheep,1-s2.0-S0038071703002992-main.ann
T8,LIVB 6929 6933,red ,1-s2.0-S0038071703002992-main.ann
T9,LIVB 6933 6937,deer,1-s2.0-S0038071703002992-main.ann
T10,LIVB 7406 7414,red deer,1-s2.0-S0038071703002992-main.ann
T11,LIVB 7508 7512,red ,1-s2.0-S0038071703002992-main.ann
T12,LIVB 7512 7516,deer,1-s2.0-S0038071703002992-main.ann
T13,LIVB 8769 8774,sheep,1-s2.0-S0038071703002992-main.ann
T14,LIVB 8874 8882,red deer,1-s2.0-S0038071703002992-main.ann
T15,LIVB 9669 9677,red deer,1-s2.0-S0038071703002992-main.ann
T16,LIVB 9730 9738,red deer,1-s2.0-S0038071703002992-main.ann
T17,LIVB 9815 9826,downy birch,1-s2.0-S0038071703002992-main.ann
T18,LIVB 9828 9844,Betula pubescens,1-s2.0-S0038071703002992-main.ann
T19,LIVB 9894 9897,oak,1-s2.0-S0038071703002992-main.ann
T20,LIVB 9899 9914,Quercus petraea,1-s2.0-S0038071703002992-main.ann
T21,LIVB 9920 9925,rowan,1-s2.0-S0038071703002992-main.ann
T22,LIVB 9927 9943,Sorbus aucuparia,1-s2.0-S0038071703002992-main.ann
T23,LIVB 10162 10170,red deer,1-s2.0-S0038071703002992-main.ann
T24,LIVB 27135 27140,birch,1-s2.0-S0038071703002992-main.ann
T25,LIVB 32103 32107,deer,1-s2.0-S0038071703002992-main.ann
T26,LIVB 33994 34005,birch trees,1-s2.0-S0038071703002992-main.ann
T27,LIVB 34693 34698,birch,1-s2.0-S0038071703002992-main.ann
T28,LIVB 36024 36045,paper birch seedlings,1-s2.0-S0038071703002992-main.ann
T29,LIVB 36047 36064,Betula papyrifera,1-s2.0-S0038071703002992-main.ann
T30,LIVB 37516 37521,birch,1-s2.0-S0038071703002992-main.ann
T31,LIVB 38025 38029,deer,1-s2.0-S0038071703002992-main.ann
T32,LIVB 39209 39213,deer,1-s2.0-S0038071703002992-main.ann
T33,LIVB 40511 40515,deer,1-s2.0-S0038071703002992-main.ann
T34,LIVB 41866 41881,tussock grasses,1-s2.0-S0038071703002992-main.ann
T35,LIVB 42807 42818,paper birch,1-s2.0-S0038071703002992-main.ann
T36,LIVB 42820 42837,Betula papyrifera,1-s2.0-S0038071703002992-main.ann
T37,LIVB 44981 44990,ungulates,1-s2.0-S0038071703002992-main.ann
T38,LIVB 45413 45427,"Ruohoma¨ki, K.",1-s2.0-S0038071703002992-main.ann
T39,LIVB 45502 45516,mountain birch,1-s2.0-S0038071703002992-main.ann
T40,LIVB 45518 45548,Betula pubescens spp. tortuosa,1-s2.0-S0038071703002992-main.ann
T41,LIVB 47089 47094,birch,1-s2.0-S0038071703002992-main.ann
T42,LIVB 47096 47106,Betula sp.,1-s2.0-S0038071703002992-main.ann
T43,LIVB 47229 47234,sheep,1-s2.0-S0038071703002992-main.ann
T44,LIVB 47737 47742,sheep,1-s2.0-S0038071703002992-main.ann
T45,LIVB 48986 48994,reindeer,1-s2.0-S0038071703002992-main.ann
T46,LIVB 49073 49083,Scots Pine,1-s2.0-S0038071703002992-main.ann
T0,LIVB 80 89,Wild boar,1-s2.0-S0038071704003761-main.ann
T1,LIVB 94 102,red deer,1-s2.0-S0038071704003761-main.ann
T2,LIVB 216 236,Toppa  aUniversita¨t,1-s2.0-S0038071704003761-main.ann
T3,LIVB 570 579,wild boar,1-s2.0-S0038071704003761-main.ann
T4,LIVB 581 591,Sus scrofa,1-s2.0-S0038071704003761-main.ann
T5,LIVB 597 605,red deer,1-s2.0-S0038071704003761-main.ann
T6,LIVB 607 621,Cervus elaphus,1-s2.0-S0038071704003761-main.ann
T7,LIVB 739 748,wild boar,1-s2.0-S0038071704003761-main.ann
T8,LIVB 1633 1637,game,1-s2.0-S0038071704003761-main.ann
T9,LIVB 2176 2183,Fencing,1-s2.0-S0038071704003761-main.ann
T10,LIVB 2185 2194,Wild boar,1-s2.0-S0038071704003761-main.ann
T11,LIVB 2196 2204,Red deer,1-s2.0-S0038071704003761-main.ann
T12,LIVB 2234 2249,Quercus petraea,1-s2.0-S0038071704003761-main.ann
T13,LIVB 3151 3155,deer,1-s2.0-S0038071704003761-main.ann
T14,LIVB 3168 3177,wild boar,1-s2.0-S0038071704003761-main.ann
T15,LIVB 3343 3351,red deer,1-s2.0-S0038071704003761-main.ann
T16,LIVB 3353 3367,Cervus elaphus,1-s2.0-S0038071704003761-main.ann
T17,LIVB 3444 3462,European wild boar,1-s2.0-S0038071704003761-main.ann
T18,LIVB 3464 3474,Sus scrofa,1-s2.0-S0038071704003761-main.ann
T19,LIVB 3606 3624,Wild boar grubbing,1-s2.0-S0038071704003761-main.ann
T20,LIVB 3837 3855,wild boar grubbing,1-s2.0-S0038071704003761-main.ann
T21,LIVB 3860 3868,red deer,1-s2.0-S0038071704003761-main.ann
T22,LIVB 4103 4111,red deer,1-s2.0-S0038071704003761-main.ann
T23,LIVB 4116 4125,wild boar,1-s2.0-S0038071704003761-main.ann
T24,LIVB 4285 4289,deer,1-s2.0-S0038071704003761-main.ann
T25,LIVB 4304 4313,wild boar,1-s2.0-S0038071704003761-main.ann
T26,LIVB 5044 5055,Sessile oak,1-s2.0-S0038071704003761-main.ann
T27,LIVB 5057 5072,Quercus petraea,1-s2.0-S0038071704003761-main.ann
T28,LIVB 5195 5200,beech,1-s2.0-S0038071704003761-main.ann
T29,LIVB 5202 5217,Fagus sylvatica,1-s2.0-S0038071704003761-main.ann
T30,LIVB 5492 5500,Red deer,1-s2.0-S0038071704003761-main.ann
T31,LIVB 5709 5727,European wild boar,1-s2.0-S0038071704003761-main.ann
T32,LIVB 5729 5739,Sus scrofa,1-s2.0-S0038071704003761-main.ann
T33,LIVB 5872 5880,Red deer,1-s2.0-S0038071704003761-main.ann
T34,LIVB 5907 5925,wild boar grubbing,1-s2.0-S0038071704003761-main.ann
T35,LIVB 6192 6210,wild boar grubbing,1-s2.0-S0038071704003761-main.ann
T36,LIVB 6212 6222,Wild boars,1-s2.0-S0038071704003761-main.ann
T37,LIVB 7269 7278,wild boar,1-s2.0-S0038071704003761-main.ann
T38,LIVB 7524 7534,wild boars,1-s2.0-S0038071704003761-main.ann
T39,LIVB 7630 7639,wild boar,1-s2.0-S0038071704003761-main.ann
T40,LIVB 7665 7673,red deer,1-s2.0-S0038071704003761-main.ann
T41,LIVB 7675 7683,Red deer,1-s2.0-S0038071704003761-main.ann
T42,LIVB 7739 7747,roe deer,1-s2.0-S0038071704003761-main.ann
T43,LIVB 8046 8054,red deer,1-s2.0-S0038071704003761-main.ann
T44,LIVB 8418 8422,deer,1-s2.0-S0038071704003761-main.ann
T45,LIVB 8573 8578,wild ,1-s2.0-S0038071704003761-main.ann
T46,LIVB 8578 8591,boar grubbing,1-s2.0-S0038071704003761-main.ann
T47,LIVB 8935 8939,red ,1-s2.0-S0038071704003761-main.ann
T48,LIVB 8939 8943,deer,1-s2.0-S0038071704003761-main.ann
T49,LIVB 9267 9276,wild boar,1-s2.0-S0038071704003761-main.ann
T50,LIVB 9513 9518,boars,1-s2.0-S0038071704003761-main.ann
T51,LIVB 10000 10003,oak,1-s2.0-S0038071704003761-main.ann
T52,LIVB 10127 10134,bramble,1-s2.0-S0038071704003761-main.ann
T53,LIVB 10136 10152,Rubus fructiosus,1-s2.0-S0038071704003761-main.ann
T54,LIVB 18387 18401,Diptera Larvae,1-s2.0-S0038071704003761-main.ann
T55,LIVB 18403 18410,Isopoda,1-s2.0-S0038071704003761-main.ann
T56,LIVB 18412 18421,Diplopoda,1-s2.0-S0038071704003761-main.ann
T57,LIVB 18443 18453,Arachnidae,1-s2.0-S0038071704003761-main.ann
T58,LIVB 18455 18465,Coleoptera,1-s2.0-S0038071704003761-main.ann
T59,LIVB 18467 18476,Chilopoda,1-s2.0-S0038071704003761-main.ann
T60,LIVB 19762 19777,Isopoda Aranaea,1-s2.0-S0038071704003761-main.ann
T61,LIVB 20707 20723,Ctenomys talarum,1-s2.0-S0038071704003761-main.ann
T62,LIVB 20725 20734,tuco-tuco,1-s2.0-S0038071704003761-main.ann
T63,LIVB 20935 20941,gopher,1-s2.0-S0038071704003761-main.ann
T64,LIVB 20945 20959,rabbit warrens,1-s2.0-S0038071704003761-main.ann
T65,LIVB 21100 21106,nutria,1-s2.0-S0038071704003761-main.ann
T66,LIVB 21116 21120,boar,1-s2.0-S0038071704003761-main.ann
T67,LIVB 21222 21227,wild ,1-s2.0-S0038071704003761-main.ann
T68,LIVB 21227 21232,boars,1-s2.0-S0038071704003761-main.ann
T69,LIVB 21234 21244,Sus scrofa,1-s2.0-S0038071704003761-main.ann
T70,LIVB 21946 21967,Trichoniscus pusillus,1-s2.0-S0038071704003761-main.ann
T71,LIVB 22039 22054,Oniscus asellus,1-s2.0-S0038071704003761-main.ann
T72,LIVB 22059 22077,Philoscia muscorum,1-s2.0-S0038071704003761-main.ann
T73,LIVB 23045 23056,Linyphiidae,1-s2.0-S0038071704003761-main.ann
T74,LIVB 23062 23081,Walckenaeria incisa,1-s2.0-S0038071704003761-main.ann
T75,LIVB 23110 23119,Lycosidae,1-s2.0-S0038071704003761-main.ann
T76,LIVB 23134 23152,Trochosa terricola,1-s2.0-S0038071704003761-main.ann
T77,LIVB 23155 23166,Theridiidae,1-s2.0-S0038071704003761-main.ann
T78,LIVB 23176 23192,Robertus lividus,1-s2.0-S0038071704003761-main.ann
T79,LIVB 23198 23208,Agelinidae,1-s2.0-S0038071704003761-main.ann
T80,LIVB 23218 23234,Coelotes inermis,1-s2.0-S0038071704003761-main.ann
T81,LIVB 23290 23299,Araneidae,1-s2.0-S0038071704003761-main.ann
T82,LIVB 23306 23315,Hahniidae,1-s2.0-S0038071704003761-main.ann
T83,LIVB 23317 23331,Hahnia Montana,1-s2.0-S0038071704003761-main.ann
T84,LIVB 23337 23347,Salticidae,1-s2.0-S0038071704003761-main.ann
T85,LIVB 25761 25769,red deer,1-s2.0-S0038071704003761-main.ann
T86,LIVB 26626 26634,red deer,1-s2.0-S0038071704003761-main.ann
T87,LIVB 27792 27810,wild boar grubbing,1-s2.0-S0038071704003761-main.ann
T88,LIVB 29667 29685,Wild boar grubbing,1-s2.0-S0038071704003761-main.ann
T89,LIVB 30630 30648,European wild boar,1-s2.0-S0038071704003761-main.ann
T90,LIVB 30650 30660,Sus scrofa,1-s2.0-S0038071704003761-main.ann
T91,LIVB 30956 30963,warrens,1-s2.0-S0038071704003761-main.ann
T92,LIVB 30971 30980,European ,1-s2.0-S0038071704003761-main.ann
T93,LIVB 30980 30986,rabbit,1-s2.0-S0038071704003761-main.ann
T94,LIVB 30988 31012,Oryctolagus cuniculus L.,1-s2.0-S0038071704003761-main.ann
T95,LIVB 31469 31486,Groot Bruinderink,1-s2.0-S0038071704003761-main.ann
T96,LIVB 31519 31528,Wild boar,1-s2.0-S0038071704003761-main.ann
T97,LIVB 31530 31550,Sus scrofa scrofa L.,1-s2.0-S0038071704003761-main.ann
T98,LIVB 32921 32927,isopod,1-s2.0-S0038071704003761-main.ann
T99,LIVB 32928 32952,Porcellio scaber (Latr.),1-s2.0-S0038071704003761-main.ann
T100,LIVB 32954 32961,Isopoda,1-s2.0-S0038071704003761-main.ann
T101,LIVB 32963 32973,Onsicoidea,1-s2.0-S0038071704003761-main.ann
T102,LIVB 33410 33421,cattle dung,1-s2.0-S0038071704003761-main.ann
T103,LIVB 33527 33534,Malizia,1-s2.0-S0038071704003761-main.ann
T104,LIVB 33587 33599,subterranean,1-s2.0-S0038071704003761-main.ann
T105,LIVB 33601 33617,Ctenomys talarum,1-s2.0-S0038071704003761-main.ann
T106,LIVB 33663 33679,Zeitschrift fu¨r,1-s2.0-S0038071704003761-main.ann
T107,LIVB 34520 34545,Bodenkundliches Praktikum,1-s2.0-S0038071704003761-main.ann
T108,LIVB 34626 34634,wild pig,1-s2.0-S0038071704003761-main.ann
T109,LIVB 34906 34936,Pﬂanzeno¨kologisches Praktikum,1-s2.0-S0038071704003761-main.ann
T110,LIVB 35456 35465,wild boar,1-s2.0-S0038071704003761-main.ann
T111,LIVB 35467 35477,Sus scrofa,1-s2.0-S0038071704003761-main.ann
T112,LIVB 35836 35851,.  cuniculus L.,1-s2.0-S0038071704003761-main.ann
T113,LIVB 35855 35875,Oryctolagus  rabbits,1-s2.0-S0038071704003761-main.ann
T114,LIVB 36101 36109,woodlice,1-s2.0-S0038071704003761-main.ann
T115,LIVB 36111 36118,Isopoda,1-s2.0-S0038071704003761-main.ann
T116,LIVB 36120 36130,Oniscoidea,1-s2.0-S0038071704003761-main.ann
T0,LIVB 4878 4883,sheep,1-s2.0-S0038071710004396-main.ann
T1,LIVB 10209 10228,Saltmarsh Solonchak,1-s2.0-S0038071710004396-main.ann
T2,LIVB 22078 22086,ryegrass,1-s2.0-S0038071710004396-main.ann
T3,LIVB 22088 22102,Lolium perenne,1-s2.0-S0038071710004396-main.ann
T4,LIVB 31184 31202,Elymus repens (L.),1-s2.0-S0038071710004396-main.ann
T5,LIVB 31207 31225,Festuca rubra (L.),1-s2.0-S0038071710004396-main.ann
T6,LIVB 31280 31304,Triglochin maritima (L.),1-s2.0-S0038071710004396-main.ann
T7,LIVB 31309 31330,Sonchus arvensis (L.),1-s2.0-S0038071710004396-main.ann
T8,LIVB 31547 31560,F. rubra (L.),1-s2.0-S0038071710004396-main.ann
T9,LIVB 31562 31590,Puccinellia maritima (Parl.),1-s2.0-S0038071710004396-main.ann
T10,LIVB 31592 31617,Agrostis stolonifera (L.),1-s2.0-S0038071710004396-main.ann
T11,LIVB 36304 36327,Agrostis stolonifera L.,1-s2.0-S0038071710004396-main.ann
T12,LIVB 36328 36344,Elymus repens L.,1-s2.0-S0038071710004396-main.ann
T13,LIVB 36345 36361,Festuca rubra L.,1-s2.0-S0038071710004396-main.ann
T14,LIVB 36362 36387,Puccinellia maritima Parl,1-s2.0-S0038071710004396-main.ann
T15,LIVB 36389 36411,Triglochin maritima L.,1-s2.0-S0038071710004396-main.ann
T16,LIVB 36412 36429,Glaux maritima L.,1-s2.0-S0038071710004396-main.ann
T17,LIVB 36430 36449,Sonchus arvensis L.,1-s2.0-S0038071710004396-main.ann
T18,LIVB 36450 36469,Trifolium repens L.,1-s2.0-S0038071710004396-main.ann
T19,LIVB 46457 46466,ungulates,1-s2.0-S0038071710004396-main.ann
T20,LIVB 47840 47853,F. rubra (L.),1-s2.0-S0038071710004396-main.ann
T21,LIVB 47864 47880,T. maritima (L.),1-s2.0-S0038071710004396-main.ann
T22,LIVB 47974 47988,E. repens (L.),1-s2.0-S0038071710004396-main.ann
T23,LIVB 48107 48113,Elymus,1-s2.0-S0038071710004396-main.ann
T24,LIVB 58267 58276,saltmarsh,1-s2.0-S0038071710004396-main.ann
T25,LIVB 61386 61391,Okine,1-s2.0-S0038071710004396-main.ann
T26,LIVB 61952 61958,Insect,1-s2.0-S0038071710004396-main.ann
T27,LIVB 62693 62704,saltmarshes,1-s2.0-S0038071710004396-main.ann
T28,LIVB 64957 64966,nematodes,1-s2.0-S0038071710004396-main.ann
T29,LIVB 65932 65946,Lolium perenne,1-s2.0-S0038071710004396-main.ann
T30,LIVB 67209 67216,Kemmitt,1-s2.0-S0038071710004396-main.ann
T31,LIVB 67236 67242,Cuttle,1-s2.0-S0038071710004396-main.ann
T32,LIVB 68202 68217,"Milchunas, D.G.",1-s2.0-S0038071710004396-main.ann
T33,LIVB 68439 68458,Alberta foothills  ,1-s2.0-S0038071710004396-main.ann
T34,LIVB 68690 68700,"Nguyen, C.",1-s2.0-S0038071710004396-main.ann
T35,LIVB 69241 69247,Naiman,1-s2.0-S0038071710004396-main.ann
T36,LIVB 70784 70793,ungulates,1-s2.0-S0038071710004396-main.ann
T37,LIVB 71809 71821,Harguindeguy,1-s2.0-S0038071710004396-main.ann
T38,LIVB 71844 71853,Cingolani,1-s2.0-S0038071710004396-main.ann
T39,LIVB 72118 72134,Elymus athericus,1-s2.0-S0038071710004396-main.ann
T0,LIVB 213 228,EXCRETA APPLIED,1-s2.0-S0038071797001454-main.ann
T1,LIVB 7758 7766,ryegrass,1-s2.0-S0038071797001454-main.ann
T2,LIVB 34788 34797,Flessa H.,1-s2.0-S0038071797001454-main.ann
T3,LIVB 36657 36679,Martinus Nijho(cid:128,1-s2.0-S0038071797001454-main.ann
T4,LIVB 37474 37483,Oenema O.,1-s2.0-S0038071797001454-main.ann
T0,LIVB 749 754,sheep,1-s2.0-S0048969712011783-main.ann
T1,LIVB 854 859,sheep,1-s2.0-S0048969712011783-main.ann
T2,LIVB 1101 1106,Sheep,1-s2.0-S0048969712011783-main.ann
T3,LIVB 1190 1195,sheep,1-s2.0-S0048969712011783-main.ann
T4,LIVB 1369 1374,sheep,1-s2.0-S0048969712011783-main.ann
T5,LIVB 1509 1514,sheep,1-s2.0-S0048969712011783-main.ann
T6,LIVB 1643 1648,sheep,1-s2.0-S0048969712011783-main.ann
T7,LIVB 1839 1850,Calluna sp.,1-s2.0-S0048969712011783-main.ann
T8,LIVB 1852 1863,Molinia sp.,1-s2.0-S0048969712011783-main.ann
T9,LIVB 1887 1903,Agrostis-Festuca,1-s2.0-S0048969712011783-main.ann
T10,LIVB 2336 2347,Molinia sp.,1-s2.0-S0048969712011783-main.ann
T11,LIVB 2481 2486,sheep,1-s2.0-S0048969712011783-main.ann
T12,LIVB 2621 2626,sheep,1-s2.0-S0048969712011783-main.ann
T13,LIVB 5048 5053,Sheep,1-s2.0-S0048969712011783-main.ann
T14,LIVB 5144 5149,sheep,1-s2.0-S0048969712011783-main.ann
T15,LIVB 5250 5255,sheep,1-s2.0-S0048969712011783-main.ann
T16,LIVB 5404 5409,sheep,1-s2.0-S0048969712011783-main.ann
T17,LIVB 7674 7679,sheep,1-s2.0-S0048969712011783-main.ann
T18,LIVB 7938 7943,sheep,1-s2.0-S0048969712011783-main.ann
T19,LIVB 8089 8094,sheep,1-s2.0-S0048969712011783-main.ann
T20,LIVB 8150 8155,sheep,1-s2.0-S0048969712011783-main.ann
T21,LIVB 9850 9855,sheep,1-s2.0-S0048969712011783-main.ann
T22,LIVB 9888 9893,sheep,1-s2.0-S0048969712011783-main.ann
T23,LIVB 10245 10250,sheep,1-s2.0-S0048969712011783-main.ann
T24,LIVB 10429 10434,sheep,1-s2.0-S0048969712011783-main.ann
T25,LIVB 10655 10660,sheep,1-s2.0-S0048969712011783-main.ann
T26,LIVB 10727 10732,sheep,1-s2.0-S0048969712011783-main.ann
T27,LIVB 10840 10845,sheep,1-s2.0-S0048969712011783-main.ann
T28,LIVB 11075 11080,sheep,1-s2.0-S0048969712011783-main.ann
T29,LIVB 11977 11982,sheep,1-s2.0-S0048969712011783-main.ann
T30,LIVB 12150 12155,sheep,1-s2.0-S0048969712011783-main.ann
T31,LIVB 14988 14993,sheep,1-s2.0-S0048969712011783-main.ann
T32,LIVB 15074 15079,sheep,1-s2.0-S0048969712011783-main.ann
T33,LIVB 15976 15981,sheep,1-s2.0-S0048969712011783-main.ann
T34,LIVB 18633 18649,Calluna vulgaris,1-s2.0-S0048969712011783-main.ann
T35,LIVB 18676 18683,Calluna,1-s2.0-S0048969712011783-main.ann
T36,LIVB 18686 18697,Molinia sp.,1-s2.0-S0048969712011783-main.ann
T37,LIVB 18724 18731,Molinia,1-s2.0-S0048969712011783-main.ann
T38,LIVB 18756 18772,Agrostis-Festuca,1-s2.0-S0048969712011783-main.ann
T39,LIVB 19358 19363,sheep,1-s2.0-S0048969712011783-main.ann
T40,LIVB 19840 19845,sheep,1-s2.0-S0048969712011783-main.ann
T41,LIVB 19851 19856,sheep,1-s2.0-S0048969712011783-main.ann
T42,LIVB 21573 21580,Molinia,1-s2.0-S0048969712011783-main.ann
